Fecha,ET,EH,ER,EHr,IEAM_C,VPD,EVPTRNS,Cluster_IEAM,Escenario_Simulado
2019-02-01,0.1071428571428571,0.6785714285714286,0.0357142857142857,0.6785714285714286,0.4464285714285714,0.0357142857142857,0.9285714285714286,1,Riesgo
2019-03-01,0.0,0.7419354838709677,0.064516129032258,0.3225806451612903,0.4580645161290322,0.1612903225806451,0.967741935483871,1,Riesgo
2019-04-01,0.0,0.5333333333333333,0.0333333333333333,0.0,0.4316666666666667,0.5666666666666667,0.7666666666666667,0,Favorable
2019-05-01,0.032258064516129,0.4838709677419355,0.064516129032258,0.0,0.3870967741935484,0.6129032258064516,0.5161290322580645,0,Favorable
2019-06-01,0.0,0.7,0.0333333333333333,0.0,0.4466666666666666,0.5666666666666667,0.6333333333333333,0,Favorable
2019-07-01,0.3548387096774194,0.6774193548387096,0.1612903225806451,0.1612903225806451,0.3935483870967742,0.032258064516129,0.7419354838709677,2,Optimo
2019-08-01,0.0967741935483871,0.4516129032258064,0.2903225806451613,0.2258064516129032,0.2548387096774193,0.064516129032258,0.3225806451612903,2,Optimo
2019-09-01,0.0666666666666666,0.6333333333333333,0.2333333333333333,0.4666666666666667,0.4683333333333333,0.2666666666666666,0.8333333333333334,1,Riesgo
2019-10-01,0.064516129032258,0.6451612903225806,0.0,0.0,0.4516129032258064,0.6451612903225806,0.6129032258064516,0,Favorable
2019-11-01,0.0,0.6333333333333333,0.0,0.0,0.445,0.8,0.4333333333333333,0,Favorable
2019-12-01,0.1612903225806451,0.9032258064516128,0.0,0.0,0.4596774193548387,0.3548387096774194,0.6451612903225806,2,Optimo
2020-01-01,0.4516129032258064,0.8064516129032258,0.2258064516129032,0.3225806451612903,0.5387096774193549,0.3548387096774194,0.7419354838709677,3,Crítico
2020-02-01,0.2758620689655172,0.7586206896551724,0.3793103448275862,0.6206896551724138,0.4741379310344827,0.1034482758620689,0.6551724137931034,1,Riesgo
2020-03-01,0.2258064516129032,0.5806451612903226,0.1290322580645161,0.0967741935483871,0.3629032258064517,0.2258064516129032,0.5806451612903226,2,Optimo
