Fecha,PRECIPITACIÓN,TMAX,TMIN,TPROM,HR,RAD_SOL,EVPTRNS,VDL
2020-10-01,113.0,27.38,16.608387096774194,21.9941935483871,71.29806451612905,18.969677419354838,13.61,0.770581414919452
2020-11-01,201.0,24.479666666666667,16.41166666666667,20.445666666666668,81.32033333333334,17.309,33.7,0.45425831573716285
2020-12-01,35.0,26.569032258064517,16.19483870967742,21.38193548387097,76.09483870967742,18.33258064516129,15.27,0.6156534278402823
2021-01-01,17.0,27.379677419354838,15.071290322580644,21.225483870967743,71.43935483870968,19.730967741935483,49.56,0.7243212554211599
2021-08-01,108.0,29.085806451612903,17.126129032258063,23.105967741935483,61.21225806451613,18.76483870967742,0.0,1.106359137645516
2021-09-01,151.0,30.270333333333333,16.871333333333332,23.570833333333333,58.464666666666666,19.94633333333333,0.0,1.2221300603418077
2021-10-01,79.0,27.98774193548387,17.263548387096773,22.625645161290322,67.35516129032258,18.443225806451615,0.0,0.9105960041664983
2021-11-01,38.0,28.463666666666665,16.78633333333333,22.625,64.928,18.41033333333333,0.37,0.983589068530812
2021-12-01,23.0,27.174193548387095,16.35516129032258,21.76467741935484,72.24451612903225,17.503548387096775,48.94,0.7331808630608563
2022-01-01,18.0,27.676451612903225,15.459677419354838,21.568064516129034,65.8241935483871,18.279032258064515,31.05,0.8869961793065781
2022-02-01,40.0,26.855357142857144,16.555357142857144,21.705357142857142,71.17821428571429,18.195,34.49,0.7576642269559637
2022-03-01,70.0,25.558709677419355,16.182258064516127,20.870483870967742,78.03354838709677,17.966451612903228,74.08,0.5481234238924116
2022-04-01,107.0,24.416333333333334,16.479666666666667,20.448,82.29966666666665,16.651333333333334,110.53999999999999,0.43445352760410144
2022-05-01,81.0,25.07225806451613,16.02193548387097,20.547096774193548,80.49935483870968,18.03548387096774,171.44,0.4723236670492398
2022-06-01,60.0,24.182000000000002,15.496333333333332,19.839166666666664,80.88366666666667,16.459333333333333,167.04,0.4434429143213656
2022-07-01,29.0,25.358387096774194,15.25258064516129,20.30548387096774,77.96290322580644,17.70741935483871,179.42000000000002,0.5265760492789638
2022-08-01,64.0,24.29774193548387,15.411290322580646,19.85451612903226,80.75161290322582,19.199032258064516,170.64000000000001,0.4477637124134595
2022-09-01,31.0,24.051,15.994,20.022499999999997,83.613,19.330333333333332,147.28,0.3866532333042431
2022-10-01,60.0,23.171612903225803,15.764516129032257,19.468064516129033,86.31290322580645,18.129354838709677,119.61,0.3123690526125291
2022-11-01,47.0,22.560333333333332,16.015,19.287666666666667,88.952,15.679,98.62,0.25101205331238696
2022-12-01,22.0,23.778709677419354,14.184516129032259,18.981612903225805,80.93806451612903,18.699032258064516,183.83,0.41865555142293254
